INSTNM,WEAPON,DRUG,LIQUOR,MURD,FORCIB,NONFOR,ROBBE,AGG_A,BURGLA,VEHIC,ARSON,BURGLA_RAC,SIM_A,SIM_A_RAC,SIM_A_SEX,LAR_T,LAR_T_RAC,INTIM,INTIM_RAC,INTIM_REL,INTIM_SEX,INTIM_GEN,INTIM_ETH,VANDAL,VANDAL_RAC,VANDAL_REL,VANDAL_SEX,VANDAL_GEN,VANDAL_ETH,RAPE,FONDL,STATR,confidence_score
St John's University-New York,3.446529772,31.82698174,28.51855266,100,50.02737593,100,58.89339838,63.59833633,71.54395565,39.77316678,44.53096458,100,100,100,100,154.9893882,100,42.51511249,3.626058013,100,100,100,100,84.52656052,59.80462847,100,100,100,100,63.71308322,68.64181744,100,77.18674719
University of Nevada-Reno,55.11734177,36.76108666,16.31046517,100,85.27614567,100,86.60738352,59.52864444,41.98054708,19.83000075,61.33787178,100,29.58985364,69.96547624,100,100,100,100,100,100,100,100,100,60.67802509,2.146739418,100,100,100,100,69.26188189,90.03885279,100,77.63844737
University of Pittsburgh-Pittsburgh Campus,65.51211996,22.61281875,11.77380569,240.0420855,2.70831376,100,85.49347376,32.16748005,56.09083417,43.64752223,26.34887085,100,52.6596757,14.27643857,100,100,100,23.60698353,37.22170773,100,100,100,248.5431376,100,100,100,100,100,100,8.254671629,20.55295073,100,77.85977782
University of Southern Indiana,80.31052395,5.560605469,3.182995917,100,1.732017938,100,90.12970113,75.14399225,76.24440049,83.21450756,66.21393123,100,100,100,100,100,100,79.43855657,24.79240288,100,254.3010139,100,100,27.54969784,100,13.5377692,77.08208267,100,100,29.88092029,10.11981874,100,78.07609182
University of Missouri-Kansas City,74.15146885,72.13167214,76.08771713,100,86.64452407,100,12.53470092,72.03039741,56.27186769,45.43861558,53.24130842,100,100,100,100,100,100,17.78432056,1.266752287,100,210.0864905,100,100,36.59103687,17.64123179,100,16.2375199,100,100,66.36525229,83.93707291,100,78.07631092
California University of Pennsylvania,31.66120096,20.53439811,4.179998947,100,17.69813665,100,69.4123957,38.37789597,64.15147082,87.51580658,47.16838948,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,16.42468546,1.414853394,100,78.079351
DePaul University,59.238421,21.62115621,11.74707015,100.9496136,48.8105986,100,312.9311442,47.02127031,36.2984795,164.9663812,94.87946914,100,11.90402928,35.06449436,86.19060239,100,100,100,100,100,100,100,100,27.08907827,18.82823492,2.063189827,23.62517584,100,100,30.21056022,68.33716257,100,78.18050411
California State University-East Bay,32.57479455,25.59258325,77.87134656,100,73.38809459,100,33.10390148,72.13411104,31.84044078,36.51671194,100,100,100,100,100,100,100,57.32815765,100,100,15.74454621,100,100,100,100,100,100,100,100,26.88721325,30.1671371,100,78.53590745
University of California-Irvine,16.58602534,67.86551799,14.59822801,64.48828906,26.97195918,33.54494755,72.12314988,43.58829066,5.011879008,28.00037677,11.97985278,100,100,100,100,100,100,47.20923795,100,386.9328412,100,100,100,91.47405834,100,100,100,100,100,4.73189336,7.127989237,100,78.81982926
University of Arkansas,35.85665746,20.36633456,34.80165267,100,54.23285829,100,72.43862112,52.076258,15.64036972,278.0931736,72.37331486,100,100,100,100,100,100,44.32709338,5.00315681,28.37931085,100,100,100,77.5214481,41.60743989,100,100,100,100,42.26487916,48.75106134,100,78.86667593
California State University-Fresno,19.90816089,66.53266655,74.38597066,100,75.34152744,100,14.76976458,48.35918378,47.8960172,122.754621,8.272809622,100,100,100,100,100,100,86.4082837,100,25.36763586,100,100,100,67.07316517,71.48864111,100,19.52066018,100,100,92.64599545,86.09814446,100,78.96322649
University of Memphis,10.42897682,64.95601476,96.37842896,100,77.04616055,100,23.64434884,3.009074554,10.86182736,31.82827676,65.5585414,100,100,100,100,100,100,100,100,100,100,100,100,88.3235763,100,45.10519378,100,100,100,60.8821467,49.71565428,100,78.99181941
Christian Brothers University,32.33731684,45.09152916,70.89518931,100,22.3108801,100,13.06393713,22.02488071,24.22850519,3.861378089,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,69.10724352,29.9211794,100,79.15131373
Ohio State University-Main Campus,53.50390552,2.937301962,87.82306119,15.36489519,13.34260519,100,29.09272332,18.08262638,30.11187336,8.526708916,66.06154499,100,394.8782699,43.11410988,135.2569015,44.58497072,100,14.08348375,4.368995744,50.32661216,14.18759079,18.12899735,160.2529473,53.54156183,31.62484143,17.50278045,93.00334446,685.6692749,8.683176387,70.97288882,51.13701983,29.72109523,79.55894089
Salisbury University,47.33598025,49.40723546,87.51073012,100,15.43874599,100,38.00197696,64.04919242,28.42354597,59.18486409,100,100,100,100,100,100,100,100,100,100,100,100,100,11.91593157,23.7279714,176.0752774,100,100,100,11.48050854,33.88214212,100,79.5760657
California State University-Fullerton,18.77931472,59.87406593,76.71489851,100,91.60694354,100,82.35649396,47.26871845,82.67356455,8.939987353,93.47003863,100,100,100,100,100,100,100,100,100,100,100,100,46.86873402,48.24281848,100,2.602939995,100,38.2461559,79.23355665,71.39887375,100,79.63365951
West Virginia State University,118.8850816,57.28711344,97.73429881,100,22.38645318,100,3.182326206,85.76179728,40.1487865,1.210752382,22.36233461,100,100,100,100,100,100,100,100,100,100,100,100,21.03729228,105.1215166,100,100,100,100,23.45082064,59.99391397,100,79.95507773
University at Buffalo,26.23187303,100.031728,2.750724392,100,29.28408782,167.4008473,100.5981297,6.679505283,25.39887263,25.24618464,80.44155996,100,100,100,100,100,100,89.42955555,100,100,100,100,68.79678487,74.39239673,100,59.87000657,100,100,100,80.93566825,22.15616647,100,79.98887785
California Lutheran University,19.718162,48.18510473,20.16435111,100,82.71658474,100,87.42339352,0.461936955,21.03719302,82.88971503,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3.782501929,6.457839202,100,80.40114945
Concordia University-Irvine,100,3.741919556,14.14317853,100,12.8561401,100,100,18.17405106,67.18143314,32.03939858,64.08006943,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2.087033568,62.98147748,100,80.54014692
Daemen College,56.70937158,5.777474585,45.70544425,100,62.72083816,100,81.91540499,73.97613415,14.84127367,63.09426854,56.49412918,100,100,100,100,100,100,100,100,100,100,100,100,11.50322863,129.8881647,100,100,100,100,40.70438331,34.50942415,100,80.55748562
Appalachian State University,92.22445743,60.78217872,35.16609565,100,3.706539829,100,91.29261077,91.64666838,31.66281617,80.25621203,23.19341301,100,100,100,100,100,100,64.82282911,100,100,38.91448472,100,100,100,100,100,100,100,100,0.076001276,65.50732163,100,80.6016134
Colorado School of Mines,14.04459145,48.06845426,24.7328284,100,69.15859059,100,100,41.86955432,58.66778808,16.02337406,35.21291378,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,27.54516946,44.35952937,100,80.61508731
Aurora University,10.01441778,32.0611606,39.08031585,100,52.63125721,100,54.04164218,42.13238558,60.32414388,100,72.35964675,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,5.820078948,14.54284377,100,80.71899664
California State University-Long Beach,40.76802188,69.00841115,74.62025073,100,81.3628825,9.419012137,81.44194756,77.40331382,75.20266614,44.69019056,89.69733975,100,62.47429465,100,100,100,100,91.3492601,100,100,100,100,100,65.0716807,27.41333185,100,100,100,45.41210823,82.05764549,61.06820737,106.5667332,80.78210306
University of Mary Hardin-Baylor,52.20850835,23.92577314,49.34093052,100,2.887554254,100,100,35.3585596,28.48382433,18.51446738,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50.90462867,25.75291401,100,80.85553626
Frostburg State University,85.07135526,66.14363557,11.95913009,100,73.55071242,100,34.51760133,66.3465516,49.77034365,93.63658402,100,100,100,100,100,100,100,100,100,100,100,100,100,8.446453082,18.91437703,115.2120523,100,100,100,13.09635087,50.75182113,100,80.85678026
Indiana University of Pennsylvania-Main Campus,68.98554146,75.54668026,35.07274373,100,13.67475301,100,42.56803564,43.18154802,61.68739202,92.67481297,65.45917091,100,100,100,100,100,100,100,100,100,100,100,100,82.43483122,100,17.42021693,100,100,100,3.961397751,86.65103427,100,80.91619244
Carnegie Mellon University,89.99159952,48.32363227,71.06657361,100,129.8294389,100,49.82806873,39.83518349,14.18996397,71.55909919,30.75611346,100,9.905491211,100,100,100,100,1.345337493,91.14468796,133.6979578,100,100,100,59.08069891,100,92.37543633,100,100,100,94.20528774,71.03547099,100,81.1928138
University of Mississippi,60.17878505,16.97077716,68.15438373,100,57.13559807,100,62.57068132,23.69682296,27.86752973,78.78248828,100,100,100,100,100,100,100,100,100,100,100,100,100,38.94667708,58.59828713,100,100,100,100,7.957800614,100,100,81.27686972
West Texas A & M University,23.43099923,2.874067494,47.64925299,100,46.85449987,100,100,27.22721449,9.574014357,39.29253711,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15.46764871,92.62469942,100,81.40609168
Southern Connecticut State University,47.61839643,49.94519832,84.91477738,100,15.99132347,100,39.04206335,83.13097668,50.4417302,55.34411337,77.43912289,100,100,100,100,100,100,100,100,100,100,100,100,77.05407631,100,100,15.87380933,100,100,10.1838425,100,100,81.4681072
University of Central Florida,82.87471328,64.66745929,83.93940429,100,58.70778957,100,57.93411068,28.96623022,57.68807756,14.15498031,95.86949579,100,35.40199529,172.3762815,24.90416645,100,100,73.98833163,60.75207912,100,100,100,66.14953173,91.59800092,89.08705867,100,84.59795766,100,100,49.80270386,69.13795728,148.4478979,81.59519447
Kean University,10.84607179,43.80476171,59.73520375,100,57.04585587,100,82.63533249,80.00969211,35.31191032,57.47613331,49.87125908,100,100,100,100,100,100,78.95443075,47.07536474,100,100,100,100,100,100,100,100,100,100,27.88217562,82.77936608,100,81.66961118
The University of Tennessee-Knoxville,35.80753283,19.21133949,25.41552292,100,73.52100575,100,35.77351746,23.75153409,30.1035155,70.38937891,22.7456006,100,100,100,100,100,100,80.53975286,100,79.49794749,100,100,100,84.28541989,100,100,42.38594269,100,100,136.9084017,158.7558482,100,81.84663314
Purdue University-Main Campus,91.93418549,38.36683878,8.993861909,19.29044573,58.32537218,100,72.20177432,53.63421683,46.97915753,57.02378389,11.84814172,100,365.0099548,461.2517692,121.0580011,103.7878448,100,23.43000744,34.78881072,41.25366859,69.76254544,100,100,11.29753343,60.6209614,12.79212586,13.34665758,100,100,15.76030642,26.87384156,100,81.86349396
Case Western Reserve University,44.09904883,41.13219621,25.2181509,100,114.6404713,100,231.8978621,54.34672657,46.07282595,39.44681767,17.41798429,100,100,100,100,100,100,70.42261656,25.61986743,100,100,100,100,100,100,100,100,100,100,6.688617074,2.857778199,100,81.8706551
University of California-Merced,51.23905178,17.81686809,49.8017415,100,28.01738865,100,56.35040093,18.34427575,69.85383649,58.43076142,78.99854747,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,71.37641299,24.2468023,100,82.01487773
Marquette University,11.74582082,61.40141207,300.3478869,100,67.19766583,100,156.6016337,43.24417338,6.016817203,62.51331842,78.71368437,100,16.29773126,180.7350972,100,100,100,7.239708356,34.84126715,100,111.7445555,100,100,35.05117221,100,1.782115472,58.74707697,100,100,22.63510257,70.01443355,100,82.08970853
